./sledgehammer/FFT/uf.645117.smt2, unsat, 11, v1, 267.9910581409931
./sledgehammer/FFT/uf.645117.smt2, unsat, 11, v3, 45.54412946663797
./sledgehammer/FFT/uf.645117.smt2, unsat, 11, v3si, 45.245964013040066
./sledgehammer/Fundamental_Theorem_Algebra/uf.931403.smt2, unsat, 10, v1, 917.2670547645539
./sledgehammer/Fundamental_Theorem_Algebra/uf.931403.smt2, unsat, 10, v3, 824.1459745764732
./sledgehammer/Fundamental_Theorem_Algebra/uf.931403.smt2, unsat, 10, v3si, 663.07765045017
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_11_57_675_2594884.smt_in.smt2, unsat, 8, v1, 538.0674248393625
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_11_57_675_2594884.smt_in.smt2, unsat, 8, v3, 680.4662579633296
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_11_57_675_2594884.smt_in.smt2, unsat, 8, v3si, 922.6642431523651
./sledgehammer/Fundamental_Theorem_Algebra/uf.580248.smt2, unsat, 9, v1, 207.03964725136757
./sledgehammer/Fundamental_Theorem_Algebra/uf.580248.smt2, unsat, 9, v3, 107.16011729091406
./sledgehammer/Fundamental_Theorem_Algebra/uf.580248.smt2, unsat, 9, v3si, 107.29696692153811
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v1, 211.98224742896855
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v3, 211.248719105497
./sledgehammer/Fundamental_Theorem_Algebra/uf.1445231.smt2, unsat, 9, v3si, 623.2482193671167
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v1, 308.91134332306683
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v3, 301.0380527600646
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v3si, 303.577215379104
./sledgehammer/Fundamental_Theorem_Algebra/uf.1219482.smt2, unsat, 7, v1, 384.4717413466424
./sledgehammer/Fundamental_Theorem_Algebra/uf.1219482.smt2, unsat, 7, v3, 63.38014665432274
./sledgehammer/Fundamental_Theorem_Algebra/uf.1219482.smt2, unsat, 7, v3si, 63.29506144486368
./20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_55_37_832_1288612.smt_in.smt2, unsat, 9, v1, 281.39693482220173
./20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_55_37_832_1288612.smt_in.smt2, unsat, 9, v3, 308.50527243316174
./20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_55_37_832_1288612.smt_in.smt2, unsat, 9, v3si, 286.6034427974373
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_59_42_548_1627248.smt_in.smt2, unsat, 7, v1, 591.5876080542803
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_59_42_548_1627248.smt_in.smt2, unsat, 7, v3, 589.4114157482982
