./sledgehammer/TwoSquares/uf.663922.smt2, sat, 8, v3, 88.31041856482625
./sledgehammer/TwoSquares/uf.663922.smt2, sat, 8, v1, 302.4840029999614
./sledgehammer/TwoSquares/uf.663922.smt2, sat, 8, v3, 88.48213731497526
./sledgehammer/QEpres/uf.658047.smt2, sat, 9, v1, 241.34086350351572
./sledgehammer/QEpres/uf.658047.smt2, sat, 9, v3, 403.27653140202165
./sledgehammer/QEpres/uf.658047.smt2, sat, 9, v1, 244.01868441700935
./sledgehammer/QEpres/uf.658047.smt2, sat, 9, v3, 403.8967629633844
./sledgehammer/QEpres/uf.658047.smt2, sat, 9, v1, 243.91046768426895
./sledgehammer/QEpres/uf.658047.smt2, sat, 9, v3, 403.2204980738461
./sledgehammer/FFT/uf.638714.smt2, sat, 9, v1, 254.50124917924404
./sledgehammer/FFT/uf.638714.smt2, sat, 9, v3, 119.47725814580917
./sledgehammer/FFT/uf.638714.smt2, sat, 9, v1, 258.018647544086
./sledgehammer/FFT/uf.638714.smt2, sat, 9, v3, 119.93629426136613
./sledgehammer/FFT/uf.638714.smt2, sat, 9, v1, 253.05053279176354
./sledgehammer/FFT/uf.638714.smt2, sat, 9, v3, 119.85245680436492
./sledgehammer/Arrow_Order/z3.726701.smt2, sat, 30, v1, 263.5908086039126
./sledgehammer/Arrow_Order/z3.726701.smt2, sat, 30, v3, 172.3224431425333
./sledgehammer/Arrow_Order/z3.726701.smt2, sat, 30, v1, 262.94409457594156
./sledgehammer/Arrow_Order/z3.726701.smt2, sat, 30, v3, 171.88022382184863
./sledgehammer/Arrow_Order/z3.726701.smt2, sat, 30, v1, 262.284004021436
./sledgehammer/Arrow_Order/z3.726701.smt2, sat, 30, v3, 170.55415580049157
./sledgehammer/QEpres/uf.804859.smt2, sat, 28, v1, 290.38439766317606
./sledgehammer/QEpres/uf.804859.smt2, sat, 28, v3, 208.35443972423673
./sledgehammer/QEpres/uf.804859.smt2, sat, 28, v1, 292.27832366898656
./sledgehammer/QEpres/uf.804859.smt2, sat, 28, v3, 208.43882321566343
./sledgehammer/QEpres/uf.804859.smt2, sat, 28, v1, 293.9805733039975
./sledgehammer/QEpres/uf.804859.smt2, sat, 28, v3, 209.83761358633637
