./grasshopper/instantiated/dl_remove_loop_invariant_35_5.smt2, unsat, 8, v1, 451.0027665309608
./grasshopper/instantiated/dl_remove_loop_invariant_35_5.smt2, unsat, 8, v3, 453.1260040141642
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v1, 278.5283027999103
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v3, 105.58641625195742
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v1, 278.2727259285748
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v3, 105.76603391766548
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v1, 278.750101480633
./sledgehammer/TypeSafe/smtlib.1267524.smt2, unsat, 5, v3, 106.37426443397999
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v1, 605.7129762917757
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v3, 221.08231347054243
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v1, 604.7741535715759
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v3, 219.15295225009322
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v1, 613.1356641501188
./sledgehammer/Hoare/uf.968765.smt2, unsat, 6, v3, 220.21342420578003
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v1, 458.51686346530914
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v3, 462.3592803813517
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v1, 457.4940949715674
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v3, 465.48691472411156
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v1, 456.7077841386199
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_36_942_2250532.smt_in.smt2, unsat, 6, v3, 464.7873986624181
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v1, 573.114815864712
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v3, 273.9022983536124
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v1, 580.0890864133835
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v3, 279.71955947205424
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v1, 577.7360204979777
./sledgehammer/Hoare/uf.775979.smt2, unsat, 8, v3, 277.7471989803016
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v1, 238.8505140952766
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v3, 187.42188557237387
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v1, 239.35378032177687
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v3, 187.49621465802193
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v1, 238.64693731442094
./sledgehammer/Fundamental_Theorem_Algebra/uf.1288658.smt2, unsat, 18, v3, 187.04670295864344
